"";"xp_ch_6"
"Lists, why would you need them?";100
"Lists, why would you need them? (2)";100
"Creating a list";100
"Creating a named list";100
"Creating a named list (2)";100
"Selecting elements from a list";100
"Creating a new list for another movie";100
