"";"xp_ch_4"
"What's a factor and why would you use it?";100
"What's a factor and why would you use it? (2)";100
"What's a factor and why would you use it? (3)";100
"Factor levels";100
"Summarizing a factor";100
"Battle of the sexes";100
"Ordered factors";100
"Ordered factors (2)";100
"Comparing ordered factors";100
