"";"xp_ch_5"
"What's a data frame";100
"Quick, have a look at you dataset";100
"Have a look at the structure";100
"Creating a data frame";100
"Creating a data frame (2)";100
"Selection of data frame elements";100
"Selection of data frame elements(2)";100
"Only planets with rings";100
"Only planets with rings(2)";100
"Only planets with rings(2) but shorter";100
"Sorting";100
"Sorting your dataframe";100
