"";"xp_ch_3"
"What's a matrix";100
"Analyze matrices, you shall";100
"Naming a matrix";100
"calculating the world box office";100
"Adding a column for the Worldwide box office";100
"Adding a row";100
"The total box office revenue for the entire saga";100
"Selection of matrix elements";100
"A little arithmetic with matrices";100
"A little arithmetic with matrices (2)";100
