"";"xp_ch_1"
"How it works";100
"Arithmetic with R";100
"Variable assignment";100
"Variable assignment (2)";100
"Variable assignment (3)";100
"Apples and oranges";100
"Basic data types in R";100
"'What's that data type?";100
