"";"name";"XP"
"1";"Function Documentation";100
"2";"Use a function";100
"3";"Use a function (2)";100
"4";"Use a function (3)";100
"5";"Functions inside functions";100
"6";"Write your own function";100
"7";"Write your own function (2)";100
"8";"Write your own function (3)";100
